Definition,Infinitive,Mood,Tense,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural
[to descend ],SCENDERE, INDICATIVO, FUTURO SEMPLICE, io scenderò, tu scenderai, lui/lei scenderà, noi scenderemo, voi scenderete, loro scenderanno
[to descend ],SCENDERE, INDICATIVO, PASSATO PROSSIMO, io sono sceso/a, tu sei sceso/a, lui/lei è sceso/a, noi siamo scesi/e, voi siete scesi/e, loro sono scesi/e
[to descend ],SCENDERE, INDICATIVO, TRAPASSATO PROSSIMO, io ero sceso/a, tu eri sceso/a, lui/lei era sceso/a, noi eravamo scesi/e, voi eravate scesi/e, loro erano scesi/e
[to descend ],SCENDERE, INDICATIVO, TRAPASSATO REMOTO, io fui sceso/a, tu fosti sceso/a, lui/lei fu sceso/a, noi fummo scesi/e, voi foste scesi/e, loro furono scesi/e
[to descend ],SCENDERE, INDICATIVO, FUTURO ANTERIORE, io sarò sceso/a, tu sarai sceso/a, lui/lei sarà sceso/a, noi saremo scesi/e, voi sarete scesi/e, loro saranno scesi/e
[to descend ],SCENDERE, CONGIUNTIVO, PRESENTE, che io scenda, che tu scenda, che lui/lei scenda, che noi scendiamo, che voi scendiate, che loro scendano
[to descend ],SCENDERE, CONGIUNTIVO, IMPERFETTO, che io scendessi, che tu scendessi, che lui/lei scendesse, che noi scendessimo, che voi scendeste, che loro scendessero
[to descend ],SCENDERE, CONGIUNTIVO, PASSATO, che io sia sceso/a, che tu sia sceso/a, che lui/lei sia sceso/a, che noi siamo scesi/e, che voi siate scesi/e, che loro siano scesi/e
[to descend ],SCENDERE, CONGIUNTIVO, TRAPASSATO, che io fossi sceso/a, che tu fossi sceso/a, che lui/lei fosse sceso/a, che noi fossimo scesi/e, che voi foste scesi/e, che loro fossero scesi/e
[to descend ],SCENDERE, CONDIZIONALE, Presente, io scenderei, tu scenderesti, lui/lei scenderebbe, noi scenderemmo, voi scendereste, loro scenderebbero
[to descend ],SCENDERE, CONDIZIONALE, Passato, io sarei sceso/a, tu saresti sceso/a, lui/lei sarebbe sceso/a, noi saremmo scesi/e, voi sareste scesi/e, loro sarebbero scesi/e
[to descend ],SCENDERE, IMPERATIVO, IMPERATIVO, PRESENTE,  scendi, scenda, scendiamo, scendete, scendano
[to return ],RITORNARE, INDICATIVO, PRESENTE, io ritorno, tu ritorni, lui/lei ritorna, noi ritorniamo, voi ritornate, loro ritornano
[to return ],RITORNARE, INDICATIVO, IMPERFETTO, io ritornavo, tu ritornavi, lui/lei ritornava, noi ritornavamo, voi ritornavate, loro ritornavano
[to return ],RITORNARE, INDICATIVO, PASSATO REMOTO, io ritornai, tu ritornasti, lui/lei ritornò, noi ritornammo, voi ritornaste, loro ritornarono
[to return ],RITORNARE, INDICATIVO, FUTURO SEMPLICE, io ritornerò, tu ritornerai, lui/lei ritornerà, noi ritorneremo, voi ritornerete, loro ritorneranno
[to return ],RITORNARE, INDICATIVO, PASSATO PROSSIMO, io sono ritornato/a, tu sei ritornato/a, lui/lei è ritornato/a, noi siamo ritornati/e, voi siete ritornati/e, loro sono ritornati/e
[to return ],RITORNARE, INDICATIVO, TRAPASSATO PROSSIMO, io ero ritornato/a, tu eri ritornato/a, lui/lei era ritornato/a, noi eravamo ritornati/e, voi eravate ritornati/e, loro erano ritornati/e
[to return ],RITORNARE, INDICATIVO, TRAPASSATO REMOTO, io fui ritornato/a, tu fosti ritornato/a, lui/lei fu ritornato/a, noi fummo ritornati/e, voi foste ritornati/e, loro furono ritornati/e
[to return ],RITORNARE, INDICATIVO, FUTURO ANTERIORE, io sarò ritornato/a, tu sarai ritornato/a, lui/lei sarà ritornato/a, noi saremo ritornati/e, voi sarete ritornati/e, loro saranno ritornati/e
[to return ],RITORNARE, CONGIUNTIVO, PRESENTE, che io ritorni, che tu ritorni, che lui/lei ritorni, che noi ritorniamo, che voi ritorniate, che loro ritornino
[to return ],RITORNARE, CONGIUNTIVO, IMPERFETTO, che io ritornassi, che tu ritornassi, che lui/lei ritornasse, che noi ritornassimo, che voi ritornaste, che loro ritornassero
[to return ],RITORNARE, CONGIUNTIVO, PASSATO, che io sia ritornato/a, che tu sia ritornato/a, che lui/lei sia ritornato/a, che noi siamo ritornati/e, che voi siate ritornati/e, che loro siano ritornati/e
[to return ],RITORNARE, CONGIUNTIVO, TRAPASSATO, che io fossi ritornato/a, che tu fossi ritornato/a, che lui/lei fosse ritornato/a, che noi fossimo ritornati/e, che voi foste ritornati/e, che loro fossero ritornati/e
[to return ],RITORNARE, CONDIZIONALE, Presente, io ritornerei, tu ritorneresti, lui/lei ritornerebbe, noi ritorneremmo, voi ritornereste, loro ritornerebbero
[to return ],RITORNARE, CONDIZIONALE, Passato, io sarei ritornato/a, tu saresti ritornato/a, lui/lei sarebbe ritornato/a, noi saremmo ritornati/e, voi sareste ritornati/e, loro sarebbero ritornati/e
[to return ],RITORNARE, IMPERATIVO, IMPERATIVO, PRESENTE,  ritorna, ritorni, ritorniamo, ritornate, ritornino
[to close/shut ],CHIUDERE, INDICATIVO, PRESENTE, io chiudo, tu chiudi, lui/lei chiude, noi chiudiamo, voi chiudete, loro chiudono
[to close/shut ],CHIUDERE, INDICATIVO, IMPERFETTO, io chiudevo, tu chiudevi, lui/lei chiudeva, noi chiudevamo, voi chiudevate, loro chiudevano
[to close/shut ],CHIUDERE, INDICATIVO, PASSATO REMOTO, io chiusi, tu chiudesti, lui/lei chiuse, noi chiudemmo, voi chiudeste, loro chiusero
[to close/shut ],CHIUDERE, INDICATIVO, FUTURO SEMPLICE, io chiuderò, tu chiuderai, lui/lei chiuderà, noi chiuderemo, voi chiuderete, loro chiuderanno
[to close/shut ],CHIUDERE, INDICATIVO, PASSATO PROSSIMO, io ho chiuso, tu hai chiuso, lui/lei ha chiuso, noi abbiamo chiuso, voi avete chiuso, loro hanno chiuso
[to close/shut ],CHIUDERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo chiuso, tu avevi chiuso, lui/lei aveva chiuso, noi avevamo chiuso, voi avevate chiuso, loro avevano chiuso
[to close/shut ],CHIUDERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi chiuso, tu avesti chiuso, lui/lei ebbe chiuso, noi avemmo chiuso, voi aveste chiuso, loro ebbero chiuso
[to close/shut ],CHIUDERE, INDICATIVO, FUTURO ANTERIORE, io avrò chiuso, tu avrai chiuso, lui/lei avrà chiuso, noi avremo chiuso, voi avrete chiuso, loro avranno chiuso
[to close/shut ],CHIUDERE, CONGIUNTIVO, PRESENTE, che io chiuda, che tu chiuda, che lui/lei chiuda, che noi chiudiamo, che voi chiudiate, che loro chiudano
[to close/shut ],CHIUDERE, CONGIUNTIVO, IMPERFETTO, che io chiudessi, che tu chiudessi, che lui/lei chiudesse, che noi chiudessimo, che voi chiudeste, che loro chiudessero
[to close/shut ],CHIUDERE, CONGIUNTIVO, PASSATO, che io abbia chiuso, che tu abbia chiuso, che lui/lei abbia chiuso, che noi abbiamo chiuso, che voi abbiate chiuso, che loro abbiano chiuso
[to close/shut ],CHIUDERE, CONGIUNTIVO, TRAPASSATO, che io avessi chiuso, che tu avessi chiuso, che lui/lei avesse chiuso, che noi avessimo chiuso, che voi aveste chiuso, che loro avessero chiuso
[to close/shut ],CHIUDERE, CONDIZIONALE, Presente, io chiuderei, tu chiuderesti, lui/lei chiuderebbe, noi chiuderemmo, voi chiudereste, loro chiuderebbero
[to close/shut ],CHIUDERE, CONDIZIONALE, Passato, io avrei chiuso, tu avresti chiuso, lui/lei avrebbe chiuso, noi avremmo chiuso, voi avreste chiuso, loro avrebbero chiuso
[to close/shut ],CHIUDERE, IMPERATIVO, IMPERATIVO, PRESENTE,  chiudi, chiuda, chiudiamo, chiudete, chiudano
[to become ],DIVENTARE, INDICATIVO, PRESENTE, io divento, tu diventi, lui/lei diventa, noi diventiamo, voi diventate, loro diventano
[to become ],DIVENTARE, INDICATIVO, IMPERFETTO, io diventavo, tu diventavi, lui/lei diventava, noi diventavamo, voi diventavate, loro diventavano
[to become ],DIVENTARE, INDICATIVO, PASSATO REMOTO, io diventai, tu diventasti, lui/lei diventò, noi diventammo, voi diventaste, loro diventarono
[to become ],DIVENTARE, INDICATIVO, FUTURO SEMPLICE, io diventerò, tu diventerai, lui/lei diventerà, noi diventeremo, voi diventerete, loro diventeranno
[to become ],DIVENTARE, INDICATIVO, PASSATO PROSSIMO, io sono diventato/a, tu sei diventato/a, lui/lei è diventato/a, noi siamo diventati/e, voi siete diventati/e, loro sono diventati/e
[to become ],DIVENTARE, INDICATIVO, TRAPASSATO PROSSIMO, io ero diventato/a, tu eri diventato/a, lui/lei era diventato/a, noi eravamo diventati/e, voi eravate diventati/e, loro erano diventati/e
[to become ],DIVENTARE, INDICATIVO, TRAPASSATO REMOTO, io fui diventato/a, tu fosti diventato/a, lui/lei fu diventato/a, noi fummo diventati/e, voi foste diventati/e, loro furono diventati/e
[to become ],DIVENTARE, INDICATIVO, FUTURO ANTERIORE, io sarò diventato/a, tu sarai diventato/a, lui/lei sarà diventato/a, noi saremo diventati/e, voi sarete diventati/e, loro saranno diventati/e
[to become ],DIVENTARE, CONGIUNTIVO, PRESENTE, che io diventi, che tu diventi, che lui/lei diventi, che noi diventiamo, che voi diventiate, che loro diventino
[to become ],DIVENTARE, CONGIUNTIVO, IMPERFETTO, che io diventassi, che tu diventassi, che lui/lei diventasse, che noi diventassimo, che voi diventaste, che loro diventassero
[to become ],DIVENTARE, CONGIUNTIVO, PASSATO, che io sia diventato/a, che tu sia diventato/a, che lui/lei sia diventato/a, che noi siamo diventati/e, che voi siate diventati/e, che loro siano diventati/e
[to become ],DIVENTARE, CONGIUNTIVO, TRAPASSATO, che io fossi diventato/a, che tu fossi diventato/a, che lui/lei fosse diventato/a, che noi fossimo diventati/e, che voi foste diventati/e, che loro fossero diventati/e
[to become ],DIVENTARE, CONDIZIONALE, Presente, io diventerei, tu diventeresti, lui/lei diventerebbe, noi diventeremmo, voi diventereste, loro diventerebbero
[to become ],DIVENTARE, CONDIZIONALE, Passato, io sarei diventato/a, tu saresti diventato/a, lui/lei sarebbe diventato/a, noi saremmo diventati/e, voi sareste diventati/e, loro sarebbero diventati/e
[to become ],DIVENTARE, IMPERATIVO, IMPERATIVO, PRESENTE,  diventa, diventi, diventiamo, diventate, diventino
[to be born vi + adj],NASCERE, INDICATIVO, PRESENTE, io nasco, tu nasci, lui/lei nasce, noi nasciamo, voi nascete, loro nascono
[to be born vi + adj],NASCERE, INDICATIVO, IMPERFETTO, io nascevo, tu nascevi, lui/lei nasceva, noi nascevamo, voi nascevate, loro nascevano
[to be born vi + adj],NASCERE, INDICATIVO, PASSATO REMOTO, io nacqui, tu nascesti, lui/lei nacque, noi nascemmo, voi nasceste, loro nacquero
[to be born vi + adj],NASCERE, INDICATIVO, FUTURO SEMPLICE, io nascerò, tu nascerai, lui/lei nascerà, noi nasceremo, voi nascerete, loro nasceranno
[to be born vi + adj],NASCERE, INDICATIVO, PASSATO PROSSIMO, io sono nato/a, tu sei nato/a, lui/lei è nato/a, noi siamo nati/e, voi siete nati/e, loro sono nati/e
[to be born vi + adj],NASCERE, INDICATIVO, TRAPASSATO PROSSIMO, io ero nato/a, tu eri nato/a, lui/lei era nato/a, noi eravamo nati/e, voi eravate nati/e, loro erano nati/e
[to be born vi + adj],NASCERE, INDICATIVO, TRAPASSATO REMOTO, io fui nato/a, tu fosti nato/a, lui/lei fu nato/a, noi fummo nati/e, voi foste nati/e, loro furono nati/e
[to be born vi + adj],NASCERE, INDICATIVO, FUTURO ANTERIORE, io sarò nato/a, tu sarai nato/a, lui/lei sarà nato/a, noi saremo nati/e, voi sarete nati/e, loro saranno nati/e
[to be born vi + adj],NASCERE, CONGIUNTIVO, PRESENTE, che io nasca, che tu nasca, che lui/lei nasca, che noi nasciamo, che voi nasciate, che loro nascano
[to be born vi + adj],NASCERE, CONGIUNTIVO, IMPERFETTO, che io nascessi, che tu nascessi, che lui/lei nascesse, che noi nascessimo, che voi nasceste, che loro nascessero
[to be born vi + adj],NASCERE, CONGIUNTIVO, PASSATO, che io sia nato/a, che tu sia nato/a, che lui/lei sia nato/a, che noi siamo nati/e, che voi siate nati/e, che loro siano nati/e
[to be born vi + adj],NASCERE, CONGIUNTIVO, TRAPASSATO, che io fossi nato/a, che tu fossi nato/a, che lui/lei fosse nato/a, che noi fossimo nati/e, che voi foste nati/e, che loro fossero nati/e
[to be born vi + adj],NASCERE, CONDIZIONALE, Presente, io nascerei, tu nasceresti, lui/lei nascerebbe, noi nasceremmo, voi nascereste, loro nascerebbero
[to be born vi + adj],NASCERE, CONDIZIONALE, Passato, io sarei nato/a, tu saresti nato/a, lui/lei sarebbe nato/a, noi saremmo nati/e, voi sareste nati/e, loro sarebbero nati/e
[to be born vi + adj],NASCERE, IMPERATIVO, IMPERATIVO, PRESENTE,  nasci, nasca, nasciamo, nascete, nascano
[to substitute/replace ],CAMBIARE, INDICATIVO, PRESENTE, io cambio, tu cambi, lui/lei cambia, noi cambiamo, voi cambiate, loro cambiano
[to substitute/replace ],CAMBIARE, INDICATIVO, IMPERFETTO, io cambiavo, tu cambiavi, lui/lei cambiava, noi cambiavamo, voi cambiavate, loro cambiavano
[to substitute/replace ],CAMBIARE, INDICATIVO, PASSATO REMOTO, io cambiai, tu cambiasti, lui/lei cambiò, noi cambiammo, voi cambiaste, loro cambiarono
[to substitute/replace ],CAMBIARE, INDICATIVO, FUTURO SEMPLICE, io cambierò, tu cambierai, lui/lei cambierà, noi cambieremo, voi cambierete, loro cambieranno
[to substitute/replace ],CAMBIARE, INDICATIVO, PASSATO PROSSIMO, io sono cambiato/a, tu sei cambiato/a, lui/lei è cambiato/a, noi siamo cambiati/e, voi siete cambiati/e, loro sono cambiati/e
[to substitute/replace ],CAMBIARE, INDICATIVO, TRAPASSATO PROSSIMO, io ero cambiato/a, tu eri cambiato/a, lui/lei era cambiato/a, noi eravamo cambiati/e, voi eravate cambiati/e, loro erano cambiati/e
[to substitute/replace ],CAMBIARE, INDICATIVO, TRAPASSATO REMOTO, io fui cambiato/a, tu fosti cambiato/a, lui/lei fu cambiato/a, noi fummo cambiati/e, voi foste cambiati/e, loro furono cambiati/e
[to substitute/replace ],CAMBIARE, INDICATIVO, FUTURO ANTERIORE, io sarò cambiato/a, tu sarai cambiato/a, lui/lei sarà cambiato/a, noi saremo cambiati/e, voi sarete cambiati/e, loro saranno cambiati/e
[to substitute/replace ],CAMBIARE, CONGIUNTIVO, PRESENTE, che io cambi, che tu cambi, che lui/lei cambi, che noi cambiamo, che voi cambiate, che loro cambino
[to substitute/replace ],CAMBIARE, CONGIUNTIVO, IMPERFETTO, che io cambiassi, che tu cambiassi, che lui/lei cambiasse, che noi cambiassimo, che voi cambiaste, che loro cambiassero
[to substitute/replace ],CAMBIARE, CONGIUNTIVO, PASSATO, che io sia cambiato/a, che tu sia cambiato/a, che lui/lei sia cambiato/a, che noi siamo cambiati/e, che voi siate cambiati/e, che loro siano cambiati/e
[to substitute/replace ],CAMBIARE, CONGIUNTIVO, TRAPASSATO, che io fossi cambiato/a, che tu fossi cambiato/a, che lui/lei fosse cambiato/a, che noi fossimo cambiati/e, che voi foste cambiati/e, che loro fossero cambiati/e
[to substitute/replace ],CAMBIARE, CONDIZIONALE, Presente, io cambierei, tu cambieresti, lui/lei cambierebbe, noi cambieremmo, voi cambiereste, loro cambierebbero
[to substitute/replace ],CAMBIARE, CONDIZIONALE, Passato, io sarei cambiato/a, tu saresti cambiato/a, lui/lei sarebbe cambiato/a, noi saremmo cambiati/e, voi sareste cambiati/e, loro sarebbero cambiati/e
[to substitute/replace ],CAMBIARE, IMPERATIVO, IMPERATIVO, PRESENTE,  cambia, cambi, cambiamo, cambiate, cambino
[to listen to v],ASCOLTARE, INDICATIVO, PRESENTE, io ascolto, tu ascolti, lui/lei ascolta, noi ascoltiamo, voi ascoltate, loro ascoltano
[to listen to v],ASCOLTARE, INDICATIVO, IMPERFETTO, io ascoltavo, tu ascoltavi, lui/lei ascoltava, noi ascoltavamo, voi ascoltavate, loro ascoltavano
[to listen to v],ASCOLTARE, INDICATIVO, PASSATO REMOTO, io ascoltai, tu ascoltasti, lui/lei ascoltò, noi ascoltammo, voi ascoltaste, loro ascoltarono
[to listen to v],ASCOLTARE, INDICATIVO, FUTURO SEMPLICE, io ascolterò, tu ascolterai, lui/lei ascolterà, noi ascolteremo, voi ascolterete, loro ascolteranno
[to listen to v],ASCOLTARE, INDICATIVO, PASSATO PROSSIMO, io ho ascoltato, tu hai ascoltato, lui/lei ha ascoltato, noi abbiamo ascoltato, voi avete ascoltato, loro hanno ascoltato
[to listen to v],ASCOLTARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo ascoltato, tu avevi ascoltato, lui/lei aveva ascoltato, noi avevamo ascoltato, voi avevate ascoltato, loro avevano ascoltato
[to listen to v],ASCOLTARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi ascoltato, tu avesti ascoltato, lui/lei ebbe ascoltato, noi avemmo ascoltato, voi aveste ascoltato, loro ebbero ascoltato
[to listen to v],ASCOLTARE, INDICATIVO, FUTURO ANTERIORE, io avrò ascoltato, tu avrai ascoltato, lui/lei avrà ascoltato, noi avremo ascoltato, voi avrete ascoltato, loro avranno ascoltato
[to listen to v],ASCOLTARE, CONGIUNTIVO, PRESENTE, che io ascolti, che tu ascolti, che lui/lei ascolti, che noi ascoltiamo, che voi ascoltiate, che loro ascoltino
[to listen to v],ASCOLTARE, CONGIUNTIVO, IMPERFETTO, che io ascoltassi, che tu ascoltassi, che lui/lei ascoltasse, che noi ascoltassimo, che voi ascoltaste, che loro ascoltassero
[to listen to v],ASCOLTARE, CONGIUNTIVO, PASSATO, che io abbia ascoltato, che tu abbia ascoltato, che lui/lei abbia ascoltato, che noi abbiamo ascoltato, che voi abbiate ascoltato, che loro abbiano ascoltato
[to listen to v],ASCOLTARE, CONGIUNTIVO, TRAPASSATO, che io avessi ascoltato, che tu avessi ascoltato, che lui/lei avesse ascoltato, che noi avessimo ascoltato, che voi aveste ascoltato, che loro avessero ascoltato
[to listen to v],ASCOLTARE, CONDIZIONALE, Presente, io ascolterei, tu ascolteresti, lui/lei ascolterebbe, noi ascolteremmo, voi ascoltereste, loro ascolterebbero
[to listen to v],ASCOLTARE, CONDIZIONALE, Passato, io avrei ascoltato, tu avresti ascoltato, lui/lei avrebbe ascoltato, noi avremmo ascoltato, voi avreste ascoltato, loro avrebbero ascoltato
[to listen to v],ASCOLTARE, IMPERATIVO, IMPERATIVO, PRESENTE,  ascolta, ascolti, ascoltiamo, ascoltate, ascoltino
[to forget ],DIMENTICARE, INDICATIVO, PRESENTE, io dimentico, tu dimentichi, lui/lei dimentica, noi dimentichiamo, voi dimenticate, loro dimenticano
[to forget ],DIMENTICARE, INDICATIVO, IMPERFETTO, io dimenticavo, tu dimenticavi, lui/lei dimenticava, noi dimenticavamo, voi dimenticavate, loro dimenticavano
[to forget ],DIMENTICARE, INDICATIVO, PASSATO REMOTO, io dimenticai, tu dimenticasti, lui/lei dimenticò, noi dimenticammo, voi dimenticaste, loro dimenticarono
[to forget ],DIMENTICARE, INDICATIVO, FUTURO SEMPLICE, io dimenticherò, tu dimenticherai, lui/lei dimenticherà, noi dimenticheremo, voi dimenticherete, loro dimenticheranno
[to forget ],DIMENTICARE, INDICATIVO, PASSATO PROSSIMO, io ho dimenticato, tu hai dimenticato, lui/lei ha dimenticato, noi abbiamo dimenticato, voi avete dimenticato, loro hanno dimenticato
[to forget ],DIMENTICARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo dimenticato, tu avevi dimenticato, lui/lei aveva dimenticato, noi avevamo dimenticato, voi avevate dimenticato, loro avevano dimenticato
[to forget ],DIMENTICARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi dimenticato, tu avesti dimenticato, lui/lei ebbe dimenticato, noi avemmo dimenticato, voi aveste dimenticato, loro ebbero dimenticato
[to forget ],DIMENTICARE, INDICATIVO, FUTURO ANTERIORE, io avrò dimenticato, tu avrai dimenticato, lui/lei avrà dimenticato, noi avremo dimenticato, voi avrete dimenticato, loro avranno dimenticato
[to forget ],DIMENTICARE, CONGIUNTIVO, PRESENTE, che io dimentichi, che tu dimentichi, che lui/lei dimentichi, che noi dimentichiamo, che voi dimentichiate, che loro dimentichino
[to forget ],DIMENTICARE, CONGIUNTIVO, IMPERFETTO, che io dimenticassi, che tu dimenticassi, che lui/lei dimenticasse, che noi dimenticassimo, che voi dimenticaste, che loro dimenticassero
[to forget ],DIMENTICARE, CONGIUNTIVO, PASSATO, che io abbia dimenticato, che tu abbia dimenticato, che lui/lei abbia dimenticato, che noi abbiamo dimenticato, che voi abbiate dimenticato, che loro abbiano dimenticato
[to forget ],DIMENTICARE, CONGIUNTIVO, TRAPASSATO, che io avessi dimenticato, che tu avessi dimenticato, che lui/lei avesse dimenticato, che noi avessimo dimenticato, che voi aveste dimenticato, che loro avessero dimenticato
[to forget ],DIMENTICARE, CONDIZIONALE, Presente, io dimenticherei, tu dimenticheresti, lui/lei dimenticherebbe, noi dimenticheremmo, voi dimentichereste, loro dimenticherebbero
