Definition,Infinitive,Present Participle,Past Participle,Principal Parts of the Verb,Present,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future I,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future II,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Imperative,2nd Person Singular,,2nd Person Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to prevail [over sb.],siegen,siegend,gesiegt,siegen - siegt - siegte - hat gesiegt,ich,siege,siegst,siegt,siegen,siegt,siegen,ich,habe gesiegt,hast gesiegt,hat gesiegt,haben gesiegt,habt gesiegt,haben gesiegt,ich,siegte,siegtest,siegte,siegten,siegtet,siegten,ich,hatte gesiegt,hattest gesiegt,hatte gesiegt,hatten gesiegt,hattet gesiegt,hatten gesiegt,ich,werde siegen,wirst siegen,wird siegen,werden siegen,werdet siegen,werden siegen,ich,werde gesiegt haben,wirst gesiegt haben,wird gesiegt haben,werden gesiegt haben,werdet gesiegt haben,werden gesiegt haben,ich,siege,siegest,siege,siegen,sieget,siegen,ich,habe gesiegt,habest gesiegt,habe gesiegt,haben gesiegt,habet gesiegt,haben gesiegt,ich,siegte,siegtest,siegte,siegten,siegtet,siegten,ich,hätte gesiegt,hättest gesiegt,hätte gesiegt,hätten gesiegt,hättet gesiegt,hätten gesiegt,ich,würde siegen,würdest siegen,würde siegen,würden siegen,würdet siegen,würden siegen,ich,würde gesiegt haben,würdest gesiegt haben,würde gesiegt haben,würden gesiegt haben,würdet gesiegt haben,würden gesiegt haben,du,siege,ihr,siegt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus. to sing,singen,singend,gesungen,singen - singt - sang - hat gesungen,ich,singe,singst,singt,singen,singt,singen,ich,habe gesungen,hast gesungen,hat gesungen,haben gesungen,habt gesungen,haben gesungen,ich,sang,sangst,sang,sangen,sangt,sangen,ich,hatte gesungen,hattest gesungen,hatte gesungen,hatten gesungen,hattet gesungen,hatten gesungen,ich,werde singen,wirst singen,wird singen,werden singen,werdet singen,werden singen,ich,werde gesungen haben,wirst gesungen haben,wird gesungen haben,werden gesungen haben,werdet gesungen haben,werden gesungen haben,ich,singe,singest,singe,singen,singet,singen,ich,habe gesungen,habest gesungen,habe gesungen,haben gesungen,habet gesungen,haben gesungen,ich,sänge,sängest,sänge,sängen,sänget,sängen,ich,hätte gesungen,hättest gesungen,hätte gesungen,hätten gesungen,hättet gesungen,hätten gesungen,ich,würde singen,würdest singen,würde singen,würden singen,würdet singen,würden singen,ich,würde gesungen haben,würdest gesungen haben,würde gesungen haben,würden gesungen haben,würdet gesungen haben,würden gesungen haben,du,singe,sing,ihr,singt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to decrease,sinken,sinkend,gesunken,sinken - sinkt - sank - ist gesunken,ich,sinke,sinkst,sinkt,sinken,sinkt,sinken,ich,bin gesunken,bist gesunken,ist gesunken,sind gesunken,seid gesunken,sind gesunken,ich,sank,sankst,sank,sanken,sankt,sanken,ich,war gesunken,warst gesunken,war gesunken,waren gesunken,wart gesunken,waren gesunken,ich,werde sinken,wirst sinken,wird sinken,werden sinken,werdet sinken,werden sinken,ich,werde gesunken sein,wirst gesunken sein,wird gesunken sein,werden gesunken sein,werdet gesunken sein,werden gesunken sein,ich,sinke,sinkest,sinke,sinken,sinket,sinken,ich,sei gesunken,seiest gesunken,sei gesunken,seien gesunken,seiet gesunken,seien gesunken,ich,sänke,sänkest,sänke,sänken,sänket,sänken,ich,wäre gesunken,wärest gesunken,wäre gesunken,wären gesunken,wäret gesunken,wären gesunken,ich,würde sinken,würdest sinken,würde sinken,würden sinken,würdet sinken,würden sinken,ich,würde gesunken sein,würdest gesunken sein,würde gesunken sein,würden gesunken sein,würdet gesunken sein,würden gesunken sein,du,sinke,sink,ihr,sinkt,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to sit,sitzen,sitzend,gesessen,sitzen - sitzt - saß - hat gesessen,ich,sitze,sitzt,sitzt,sitzen,sitzt,sitzen,ich,habe gesessen,hast gesessen,hat gesessen,haben gesessen,habt gesessen,haben gesessen,ich,saß,saßest,saß,saßen,saßet,saßen,ich,hatte gesessen,hattest gesessen,hatte gesessen,hatten gesessen,hattet gesessen,hatten gesessen,ich,werde sitzen,wirst sitzen,wird sitzen,werden sitzen,werdet sitzen,werden sitzen,ich,werde gesessen haben,wirst gesessen haben,wird gesessen haben,werden gesessen haben,werdet gesessen haben,werden gesessen haben,ich,sitze,sitzest,sitze,sitzen,sitzet,sitzen,ich,habe gesessen,habest gesessen,habe gesessen,haben gesessen,habet gesessen,haben gesessen,ich,säße,säßest,säße,säßen,säßet,säßen,ich,hätte gesessen,hättest gesessen,hätte gesessen,hätten gesessen,hättet gesessen,hätten gesessen,ich,würde sitzen,würdest sitzen,würde sitzen,würden sitzen,würdet sitzen,würden sitzen,ich,würde gesessen haben,würdest gesessen haben,würde gesessen haben,würden gesessen haben,würdet gesessen haben,würden gesessen haben,du,sitze,sitz,ihr,sitzt,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to save,sparen,sparend,gespart,sparen - spart - sparte - hat gespart,ich,spare,sparst,spart,sparen,spart,sparen,ich,habe gespart,hast gespart,hat gespart,haben gespart,habt gespart,haben gespart,ich,sparte,spartest,sparte,sparten,spartet,sparten,ich,hatte gespart,hattest gespart,hatte gespart,hatten gespart,hattet gespart,hatten gespart,ich,werde sparen,wirst sparen,wird sparen,werden sparen,werdet sparen,werden sparen,ich,werde gespart haben,wirst gespart haben,wird gespart haben,werden gespart haben,werdet gespart haben,werden gespart haben,ich,spare,sparest,spare,sparen,sparet,sparen,ich,habe gespart,habest gespart,habe gespart,haben gespart,habet gespart,haben gespart,ich,sparte,spartest,sparte,sparten,spartet,sparten,ich,hätte gespart,hättest gespart,hätte gespart,hätten gespart,hättet gespart,hätten gespart,ich,würde sparen,würdest sparen,würde sparen,würden sparen,würdet sparen,würden sparen,ich,würde gespart haben,würdest gespart haben,würde gespart haben,würden gespart haben,würdet gespart haben,würden gespart haben,du,spare,ihr,spart,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to stroll,spazieren,spazierend,spaziert,spazieren - spaziert - spazierte - hat spaziert,ich,spaziere,spazierst,spaziert,spazieren,spaziert,spazieren,ich,habe spaziert,hast spaziert,hat spaziert,haben spaziert,habt spaziert,haben spaziert,ich,spazierte,spaziertest,spazierte,spazierten,spaziertet,spazierten,ich,hatte spaziert,hattest spaziert,hatte spaziert,hatten spaziert,hattet spaziert,hatten spaziert,ich,werde spazieren,wirst spazieren,wird spazieren,werden spazieren,werdet spazieren,werden spazieren,ich,werde spaziert haben,wirst spaziert haben,wird spaziert haben,werden spaziert haben,werdet spaziert haben,werden spaziert haben,ich,spaziere,spazierest,spaziere,spazieren,spazieret,spazieren,ich,habe spaziert,habest spaziert,habe spaziert,haben spaziert,habet spaziert,haben spaziert,ich,spazierte,spaziertest,spazierte,spazierten,spaziertet,spazierten,ich,hätte spaziert,hättest spaziert,hätte spaziert,hätten spaziert,hättet spaziert,hätten spaziert,ich,würde spazieren,würdest spazieren,würde spazieren,würden spazieren,würdet spazieren,würden spazieren,ich,würde spaziert haben,würdest spaziert haben,würde spaziert haben,würden spaziert haben,würdet spaziert haben,würden spaziert haben,du,spaziere,ihr,spaziert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to play,spielen,spielend,gespielt,spielen - spielt - spielte - hat gespielt,ich,spiele,spielst,spielt,spielen,spielt,spielen,ich,habe gespielt,hast gespielt,hat gespielt,haben gespielt,habt gespielt,haben gespielt,ich,spielte,spieltest,spielte,spielten,spieltet,spielten,ich,hatte gespielt,hattest gespielt,hatte gespielt,hatten gespielt,hattet gespielt,hatten gespielt,ich,werde spielen,wirst spielen,wird spielen,werden spielen,werdet spielen,werden spielen,ich,werde gespielt haben,wirst gespielt haben,wird gespielt haben,werden gespielt haben,werdet gespielt haben,werden gespielt haben,ich,spiele,spielest,spiele,spielen,spielet,spielen,ich,habe gespielt,habest gespielt,habe gespielt,haben gespielt,habet gespielt,haben gespielt,ich,spielte,spieltest,spielte,spielten,spieltet,spielten,ich,hätte gespielt,hättest gespielt,hätte gespielt,hätten gespielt,hättet gespielt,hätten gespielt,ich,würde spielen,würdest spielen,würde spielen,würden spielen,würdet spielen,würden spielen,ich,würde gespielt haben,würdest gespielt haben,würde gespielt haben,würden gespielt haben,würdet gespielt haben,würden gespielt haben,du,spiele,ihr,spielt,English,English,English,English,English,English,English,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to leap,springen,springend,gesprungen,springen - springt - sprang - ist gesprungen,ich,springe,springst,springt,springen,springt,springen,ich,bin gesprungen,bist gesprungen,ist gesprungen,sind gesprungen,seid gesprungen,sind gesprungen,ich,sprang,sprangst,sprang,sprangen,sprangt,sprangen,ich,war gesprungen,warst gesprungen,war gesprungen,waren gesprungen,wart gesprungen,waren gesprungen,ich,werde springen,wirst springen,wird springen,werden springen,werdet springen,werden springen,ich,werde gesprungen sein,wirst gesprungen sein,wird gesprungen sein,werden gesprungen sein,werdet gesprungen sein,werden gesprungen sein,ich,springe,springest,springe,springen,springet,springen,ich,sei gesprungen,seiest gesprungen,sei gesprungen,seien gesprungen,seiet gesprungen,seien gesprungen,ich,spränge,sprängest,spränge,sprängen,spränget,sprängen,ich,wäre gesprungen,wärest gesprungen,wäre gesprungen,wären gesprungen,wäret gesprungen,wären gesprungen,ich,würde springen,würdest springen,würde springen,würden springen,würdet springen,würden springen,ich,würde gesprungen sein,würdest gesprungen sein,würde gesprungen sein,würden gesprungen sein,würdet gesprungen sein,würden gesprungen sein,du,springe,spring,ihr,springt,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to splash,spritzen,spritzend,gespritzt,spritzen - spritzt - spritzte - hat gespritzt,ich,spritze,spritzt,spritzt,spritzen,spritzt,spritzen,ich,habe gespritzt,hast gespritzt,hat gespritzt,haben gespritzt,habt gespritzt,haben gespritzt,ich,spritzte,spritztest,spritzte,spritzten,spritztet,spritzten,ich,hatte gespritzt,hattest gespritzt,hatte gespritzt,hatten gespritzt,hattet gespritzt,hatten gespritzt,ich,werde spritzen,wirst spritzen,wird spritzen,werden spritzen,werdet spritzen,werden spritzen,ich,werde gespritzt haben,wirst gespritzt haben,wird gespritzt haben,werden gespritzt haben,werdet gespritzt haben,werden gespritzt haben,ich,spritze,spritzest,spritze,spritzen,spritzet,spritzen,ich,habe gespritzt,habest gespritzt,habe gespritzt,haben gespritzt,habet gespritzt,haben gespritzt,ich,spritzte,spritztest,spritzte,spritzten,spritztet,spritzten,ich,hätte gespritzt,hättest gespritzt,hätte gespritzt,hätten gespritzt,hättet gespritzt,hätten gespritzt,ich,würde spritzen,würdest spritzen,würde spritzen,würden spritzen,würdet spritzen,würden spritzen,ich,würde gespritzt haben,würdest gespritzt haben,würde gespritzt haben,würden gespritzt haben,würdet gespritzt haben,würden gespritzt haben,du,spritze,ihr,spritzt,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to spray,sprühen,sprühend,gesprüht,sprühen - sprüht - sprühte - hat gesprüht,ich,sprühe,sprühst,sprüht,sprühen,sprüht,sprühen,ich,habe gesprüht,hast gesprüht,hat gesprüht,haben gesprüht,habt gesprüht,haben gesprüht,ich,sprühte,sprühtest,sprühte,sprühten,sprühtet,sprühten,ich,hatte gesprüht,hattest gesprüht,hatte gesprüht,hatten gesprüht,hattet gesprüht,hatten gesprüht,ich,werde sprühen,wirst sprühen,wird sprühen,werden sprühen,werdet sprühen,werden sprühen,ich,werde gesprüht haben,wirst gesprüht haben,wird gesprüht haben,werden gesprüht haben,werdet gesprüht haben,werden gesprüht haben,ich,sprühe,sprühest,sprühe,sprühen,sprühet,sprühen,ich,habe gesprüht,habest gesprüht,habe gesprüht,haben gesprüht,habet gesprüht,haben gesprüht,ich,sprühte,sprühtest,sprühte,sprühten,sprühtet,sprühten,ich,hätte gesprüht,hättest gesprüht,hätte gesprüht,hätten gesprüht,hättet gesprüht,hätten gesprüht,ich,würde sprühen,würdest sprühen,würde sprühen,würden sprühen,würdet sprühen,würden sprühen,ich,würde gesprüht haben,würdest gesprüht haben,würde gesprüht haben,würden gesprüht haben,würdet gesprüht haben,würden gesprüht haben,du,sprühe,ihr,sprüht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to spit,spucken,spuckend,gespuckt,spucken - spuckt - spuckte - hat gespuckt,ich,spucke,spuckst,spuckt,spucken,spuckt,spucken,ich,habe gespuckt,hast gespuckt,hat gespuckt,haben gespuckt,habt gespuckt,haben gespuckt,ich,spuckte,spucktest,spuckte,spuckten,spucktet,spuckten,ich,hatte gespuckt,hattest gespuckt,hatte gespuckt,hatten gespuckt,hattet gespuckt,hatten gespuckt,ich,werde spucken,wirst spucken,wird spucken,werden spucken,werdet spucken,werden spucken,ich,werde gespuckt haben,wirst gespuckt haben,wird gespuckt haben,werden gespuckt haben,werdet gespuckt haben,werden gespuckt haben,ich,spucke,spuckest,spucke,spucken,spucket,spucken,ich,habe gespuckt,habest gespuckt,habe gespuckt,haben gespuckt,habet gespuckt,haben gespuckt,ich,spuckte,spucktest,spuckte,spuckten,spucktet,spuckten,ich,hätte gespuckt,hättest gespuckt,hätte gespuckt,hätten gespuckt,hättet gespuckt,hätten gespuckt,ich,würde spucken,würdest spucken,würde spucken,würden spucken,würdet spucken,würden spucken,ich,würde gespuckt haben,würdest gespuckt haben,würde gespuckt haben,würden gespuckt haben,würdet gespuckt haben,würden gespuckt haben,du,spucke,ihr,spuckt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to rinse [also tech.],spülen,spülend,gespült,spülen - spült - spülte - hat gespült,ich,spüle,spülst,spült,spülen,spült,spülen,ich,habe gespült,hast gespült,hat gespült,haben gespült,habt gespült,haben gespült,ich,spülte,spültest,spülte,spülten,spültet,spülten,ich,hatte gespült,hattest gespült,hatte gespült,hatten gespült,hattet gespült,hatten gespült,ich,werde spülen,wirst spülen,wird spülen,werden spülen,werdet spülen,werden spülen,ich,werde gespült haben,wirst gespült haben,wird gespült haben,werden gespült haben,werdet gespült haben,werden gespült haben,ich,spüle,spülest,spüle,spülen,spület,spülen,ich,habe gespült,habest gespült,habe gespült,haben gespült,habet gespült,haben gespült,ich,spülte,spültest,spülte,spülten,spültet,spülten,ich,hätte gespült,hättest gespült,hätte gespült,hätten gespült,hättet gespült,hätten gespült,ich,würde spülen,würdest spülen,würde spülen,würden spülen,würdet spülen,würden spülen,ich,würde gespült haben,würdest gespült haben,würde gespült haben,würden gespült haben,würdet gespült haben,würden gespült haben,du,spüle,ihr,spült,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to feel,spüren,spürend,gespürt,spüren - spürt - spürte - hat gespürt,ich,spüre,spürst,spürt,spüren,spürt,spüren,ich,habe gespürt,hast gespürt,hat gespürt,haben gespürt,habt gespürt,haben gespürt,ich,spürte,spürtest,spürte,spürten,spürtet,spürten,ich,hatte gespürt,hattest gespürt,hatte gespürt,hatten gespürt,hattet gespürt,hatten gespürt,ich,werde spüren,wirst spüren,wird spüren,werden spüren,werdet spüren,werden spüren,ich,werde gespürt haben,wirst gespürt haben,wird gespürt haben,werden gespürt haben,werdet gespürt haben,werden gespürt haben,ich,spüre,spürest,spüre,spüren,spüret,spüren,ich,habe gespürt,habest gespürt,habe gespürt,haben gespürt,habet gespürt,haben gespürt,ich,spürte,spürtest,spürte,spürten,spürtet,spürten,ich,hätte gespürt,hättest gespürt,hätte gespürt,hätten gespürt,hättet gespürt,hätten gespürt,ich,würde spüren,würdest spüren,würde spüren,würden spüren,würdet spüren,würden spüren,ich,würde gespürt haben,würdest gespürt haben,würde gespürt haben,würden gespürt haben,würdet gespürt haben,würden gespürt haben,du,spüre,ihr,spürt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to occur [change],stattfinden,stattfindend,stattgefunden,stattfinden - findet statt - fand statt - hat stattgefunden,ich,finde statt,findest statt,findet statt,finden statt,findet statt,finden statt,ich,habe stattgefunden,hast stattgefunden,hat stattgefunden,haben stattgefunden,habt stattgefunden,haben stattgefunden,ich,fand statt,fandest statt,fand statt,fanden statt,fandet statt,fanden statt,ich,hatte stattgefunden,hattest stattgefunden,hatte stattgefunden,hatten stattgefunden,hattet stattgefunden,hatten stattgefunden,ich,werde stattfinden,wirst stattfinden,wird stattfinden,werden stattfinden,werdet stattfinden,werden stattfinden,ich,werde stattgefunden haben,wirst stattgefunden haben,wird stattgefunden haben,werden stattgefunden haben,werdet stattgefunden haben,werden stattgefunden haben,ich,finde statt,findest statt,finde statt,finden statt,findet statt,finden statt,ich,habe stattgefunden,habest stattgefunden,habe stattgefunden,haben stattgefunden,habet stattgefunden,haben stattgefunden,ich,fände statt,fändest statt,fände statt,fänden statt,fändet statt,fänden statt,ich,hätte stattgefunden,hättest stattgefunden,hätte stattgefunden,hätten stattgefunden,hättet stattgefunden,hätten stattgefunden,ich,würde stattfinden,würdest stattfinden,würde stattfinden,würden stattfinden,würdet stattfinden,würden stattfinden,ich,würde stattgefunden haben,würdest stattgefunden haben,würde stattgefunden haben,würden stattgefunden haben,würdet stattgefunden haben,würden stattgefunden haben,du,finde statt,find statt,ihr,findet statt,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to do the hoovering [Br.],staub saugen,staub saugend,gestaub saugt,staub saugen - staub saugt - staub saugte - hat gestaub saugt,ich,staub sauge,staub saugst,staub saugt,staub saugen,staub saugt,staub saugen,ich,habe gestaub saugt,hast gestaub saugt,hat gestaub saugt,haben gestaub saugt,habt gestaub saugt,haben gestaub saugt,ich,staub saugte,staub saugtest,staub saugte,staub saugten,staub saugtet,staub saugten,ich,hatte gestaub saugt,hattest gestaub saugt,hatte gestaub saugt,hatten gestaub saugt,hattet gestaub saugt,hatten gestaub saugt,ich,werde staub saugen,wirst staub saugen,wird staub saugen,werden staub saugen,werdet staub saugen,werden staub saugen,ich,werde gestaub saugt haben,wirst gestaub saugt haben,wird gestaub saugt haben,werden gestaub saugt haben,werdet gestaub saugt haben,werden gestaub saugt haben,ich,staub sauge,staub saugest,staub sauge,staub saugen,staub sauget,staub saugen,ich,habe gestaub saugt,habest gestaub saugt,habe gestaub saugt,haben gestaub saugt,habet gestaub saugt,haben gestaub saugt,ich,staub saugte,staub saugtest,staub saugte,staub saugten,staub saugtet,staub saugten,ich,hätte gestaub saugt,hättest gestaub saugt,hätte gestaub saugt,hätten gestaub saugt,hättet gestaub saugt,hätten gestaub saugt,ich,würde staub saugen,würdest staub saugen,würde staub saugen,würden staub saugen,würdet staub saugen,würden staub saugen,ich,würde gestaub saugt haben,würdest gestaub saugt haben,würde gestaub saugt haben,würden gestaub saugt haben,würdet gestaub saugt haben,würden gestaub saugt haben,du,staub sauge,ihr,staub saugt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to marvel,staunen,staunend,gestaunt,staunen - staunt - staunte - hat gestaunt,ich,staune,staunst,staunt,staunen,staunt,staunen,ich,habe gestaunt,hast gestaunt,hat gestaunt,haben gestaunt,habt gestaunt,haben gestaunt,ich,staunte,stauntest,staunte,staunten,stauntet,staunten,ich,hatte gestaunt,hattest gestaunt,hatte gestaunt,hatten gestaunt,hattet gestaunt,hatten gestaunt,ich,werde staunen,wirst staunen,wird staunen,werden staunen,werdet staunen,werden staunen,ich,werde gestaunt haben,wirst gestaunt haben,wird gestaunt haben,werden gestaunt haben,werdet gestaunt haben,werden gestaunt haben,ich,staune,staunest,staune,staunen,staunet,staunen,ich,habe gestaunt,habest gestaunt,habe gestaunt,haben gestaunt,habet gestaunt,haben gestaunt,ich,staunte,stauntest,staunte,staunten,stauntet,staunten,ich,hätte gestaunt,hättest gestaunt,hätte gestaunt,hätten gestaunt,hättet gestaunt,hätten gestaunt,ich,würde staunen,würdest staunen,würde staunen,würden staunen,würdet staunen,würden staunen,ich,würde gestaunt haben,würdest gestaunt haben,würde gestaunt haben,würden gestaunt haben,würdet gestaunt haben,würden gestaunt haben,du,staune,ihr,staunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
